Motif	Factor	Evidence	Curated
GM.5.0.bZIP.0002	si_ch211-153j24.3	Orthologs	N
GM.5.0.bZIP.0002	fosab	Orthologs	N
GM.5.0.bZIP.0002	fosaa	Orthologs	N
GM.5.0.bZIP.0002	si_ch211-153j24.3	Orthologs	N
GM.5.0.bZIP.0002	fosab	Orthologs	N
GM.5.0.bZIP.0002	jund	Orthologs	N
GM.5.0.bZIP.0002	jund	Orthologs	N
GM.5.0.bZIP.0002	fosl1a	Orthologs	N
GM.5.0.bZIP.0002	fosl1a	Orthologs	N
GM.5.0.bZIP.0002	fosb	Orthologs	N
GM.5.0.bZIP.0002	fosb	Orthologs	N
GM.5.0.bZIP.0002	junba	Orthologs	N
GM.5.0.bZIP.0002	junbb	Orthologs	N
GM.5.0.bZIP.0002	junba	Orthologs	N
GM.5.0.bZIP.0002	junbb	Orthologs	N
GM.5.0.IRF.0001	irf2a	Orthologs	N
GM.5.0.IRF.0001	irf2	Orthologs	N
GM.5.0.IRF.0001	irf2a	Orthologs	N
GM.5.0.IRF.0001	irf2	Orthologs	N
GM.5.0.IRF.0001	irf3	Orthologs	N
GM.5.0.IRF.0001	irf3	Orthologs	N
GM.5.0.IRF.0001	irf1a	Orthologs	N
GM.5.0.IRF.0001	irf1b	Orthologs	N
GM.5.0.IRF.0001	irf1a	Orthologs	N
GM.5.0.IRF.0001	irf1b	Orthologs	N
GM.5.0.bHLH.0002	LOC101883970	Orthologs	N
GM.5.0.bHLH.0002	tcf3b	Orthologs	N
GM.5.0.bHLH.0002	tcf4	Orthologs	N
GM.5.0.bHLH.0002	tcf12	Orthologs	N
GM.5.0.bHLH.0002	LOC101883970	Orthologs	N
GM.5.0.bHLH.0002	tcf3b	Orthologs	N
GM.5.0.bHLH.0002	tcf4	Orthologs	N
GM.5.0.bHLH.0002	tcf12	Orthologs	N
GM.5.0.bHLH.0002	tfap4	Orthologs	N
GM.5.0.bHLH.0002	tfap4	Orthologs	N
GM.5.0.bHLH.0002	atoh7	Orthologs	N
GM.5.0.bHLH.0002	atoh7	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrbb	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrba	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrab	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxraa	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrgb	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrga	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrbb	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrba	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrab	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxraa	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrgb	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rxrga	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rargb	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rarga	Orthologs	N
GM.5.0.Nuclear_receptor.0003	raraa	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rarab	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rargb	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rarga	Orthologs	N
GM.5.0.Nuclear_receptor.0003	raraa	Orthologs	N
GM.5.0.Nuclear_receptor.0003	rarab	Orthologs	N
GM.5.0.bZIP.0003	mafk	Orthologs	N
GM.5.0.bZIP.0003	mafgb	Orthologs	N
GM.5.0.bZIP.0003	maff	Orthologs	N
GM.5.0.bZIP.0003	mafk	Orthologs	N
GM.5.0.bZIP.0003	mafgb	Orthologs	N
GM.5.0.bZIP.0003	maff	Orthologs	N
GM.5.0.bZIP.0003	nfe2	Orthologs	N
GM.5.0.bZIP.0003	nfe2	Orthologs	N
GM.5.0.bZIP.0003	bach1b	Orthologs	N
GM.5.0.bZIP.0003	bach1b	Orthologs	N
GM.5.0.bZIP.0003	bach2a	Orthologs	N
GM.5.0.bZIP.0003	bach1a	Orthologs	N
GM.5.0.bZIP.0003	bach2b	Orthologs	N
GM.5.0.bZIP.0003	bach2a	Orthologs	N
GM.5.0.bZIP.0003	bach1a	Orthologs	N
GM.5.0.bZIP.0003	bach2b	Orthologs	N
GM.5.0.bHLH.0003	scap	Orthologs	N
