"","cluster","ref1","ref2","ref3","manual_anno","cl_numb","broader","numbered","numbered_mk","topmk","broader_col","clcol"
"23","12","12_Neuro","12","12_UnD","12_NeuGlial",12,"Glial","12_NeuGlial","12_NeuGlial_col14a1a.fgfr2","ebf3a.1/abtb2b/col14a1a/grm2a/hspg2/ENSDARG00000062538/osbpl10b/kcnj19a/phf24/fgfr2","#1F78B4","#004865"
"13","13","13_Endot.Epend","13","13_GABAn","13_Neuro",13,"Neuro","13_Neuro","13_Neuro_kcnt1.myo1b","kcnt1/myo1b/nrgna/dgkaa/ano1/KCNIP4/nbeal2/asic4b/add3b/si:ch211-168d1.3","#ff8f00","#F8665E"
"53","16","16_Neuro.Neuro","16","16_UnD","16_Neuro",16,"Neuro","16_Neuro","16_Neuro_lhx9.ntng2a","lhx9/tcf7l2/adcyap1b/ntng2a/rbfox3a/prkg1b/dock4b/cachd1/tmeff2b/CABZ01073166.1","#ff8f00","#FFD159"
"41","17","17_Proge.Tcell","17_Astro.Bergm","17_CSC","17_RG",17,"Glial","17_RG","17_RadialGlial_lrig1.fgfrl1a.smoc2","lrig1/msi1/ccnd2a/fgfrl1a/pard3bb/atp1a1b/ppap2d/smoc2/gli3/notch1b","#1F78B4","#5498D4"
"17","18","18_Neuro.Neuro","18_Inter.NS","18_UnD","18_Neuro",18,"Neuro","18_Neuro","18_Neuro_roraa.pou2f2a.1.esr2a","roraa/BX640462.3/pou2f2a.1/esr2a/ripor2/jupb/fibcd1/si:dkey-22o22.2/si:ch211-132b12.7/dhrsx","#ff8f00","#A55800"
"32","19","19_Neuro.Neuro","19_Pyram","19_UnD","19_Neuro",19,"Neuro","19_Neuro","19_Neuro_tafa1a.hs6st3b.sulf2a","tafa1a/hs6st3b/magixb/sulf2a/si:ch211-277e21.1/otpa/adamts2/fndc4a/cbln1/fat3b","#ff8f00","#FFA900"
"50","20","20_Neuro.Neuro","20","20_UnD","20_Neuro",20,"Neuro","20_Neuro","20_Neuro_zmat4b.sema3ab.stac","zmat4b/etv5a/sema3ab/stac/stxbp1b/kcnq2a/vipr1b/abtb2b/CABZ01080056.1/camkvl","#ff8f00","#DE7F00"
"14","21","21_Oligo","21_Oligo","21_MSC","21_Oligo",21,"Oligo","21_Oligo","21_Oligo_mpz.lmo7a.mag","mpz/lmo7a/si:dkey-200l5.4/mag/cldn19/si:ch73-335m24.2/sh2d3cb/tmem237a/csrp1b/CU856623.1","#ea80fc","#ea80fc"
"6","22","22_Neuro.Neuro","22","22_UnD","22_Neuro",22,"Neuro","22_Neuro","22_Neuro_otpa.vav3b","otpa/vav3b/erbb4a/ERBB4/ENSDARG00000059707/BX640462.3/BX510306.1/tox/slc17a6b/ryr3","#ff8f00","#FFE700"
"9","23","23_Neuro","23_IN.Inter","23_UnD","23_Neuro",23,"Neuro","23_Neuro","23_Neuro_esrrga.rnf220a.syt2a","esrrga/rnf220a/syt2a/znf385a/grin2aa/BX640462.3/pcdh7a/fhod3b/gria3a/glra1","#ff8f00","#866A00"
